id,name,meal_type,diet_type,cost_vnd,calories,protein_g,carbs_g,fat_g,allergens,ingredients
1,Phở bò,breakfast,home_cooked,40000,450,25,60,12,,"Bánh phở, thịt bò, nước dùng, hành tây, rau thơm"
2,Bún bò Huế,breakfast;lunch,home_cooked,45000,500,28,65,15,seafood,"Bún, thịt bò, giò heo, chả cua, mắm ruốc"
3,Cơm tấm sườn bì chả,breakfast;lunch,home_cooked,35000,650,30,80,20,egg;seafood,"Cơm tấm, sườn nướng, bì, chả trứng, nước mắm"
4,Bánh mì ốp la,breakfast,home_cooked,15000,350,12,45,10,egg,"Bánh mì, trứng gà, dưa leo, ngò, tương ớt"
5,Bánh mì xíu mại,breakfast,home_cooked,20000,400,15,50,12,,"Bánh mì, thịt heo băm, sốt cà chua, hành tây"
6,Xôi xéo,breakfast,home_cooked;vegetarian,15000,400,10,70,8,,"Gạo nếp, đậu xanh, hành phi, dầu ăn"
7,Xôi mặn,breakfast,home_cooked,20000,500,18,65,15,egg;soy,"Gạo nếp, lạp xưởng, chà bông, trứng cút, mỡ hành"
8,Bánh cuốn thịt băm,breakfast,home_cooked,25000,350,12,55,8,seafood,"Bột gạo, thịt heo, mộc nhĩ, hành phi, nước mắm"
9,Cháo lòng,breakfast,home_cooked,30000,400,20,45,15,,"Gạo, nội tạng heo, huyết, giá, ngò"
10,Cháo sườn,breakfast,home_cooked,25000,300,15,40,10,,"Gạo, sườn non, quẩy, tiêu"
11,Bún riêu cua,breakfast;lunch,home_cooked,30000,450,20,60,12,seafood;egg,"Bún, cua đồng, cà chua, đậu hũ, huyết, mắm tôm"
12,Bún chả Hà Nội,lunch,home_cooked,40000,550,25,65,18,seafood,"Bún, thịt heo nướng, chả nướng, đu đủ chua, nước mắm"
13,Hủ tiếu Nam Vang,breakfast;lunch,home_cooked,40000,480,22,60,14,seafood,"Hủ tiếu, tôm, gan heo, thịt băm, trứng cút"
14,Miến gà,breakfast;lunch,home_cooked;eat_clean,35000,350,25,40,10,,"Miến dong, thịt gà, nước dùng gà, hành lá"
15,Mì xào bò,breakfast,home_cooked,30000,450,20,50,15,soy,"Mì gói, thịt bò, cải ngọt, nước tương"
16,Bánh canh cua,breakfast;lunch,home_cooked,45000,500,25,65,14,seafood,"Bánh canh, thịt cua, tôm, huyết, chả cá"
17,Bò né,breakfast,home_cooked,45000,600,30,45,25,egg,"Thịt bò, trứng gà, pate, xúc xích, bánh mì"
