id,name,meal_type,diet_type,cost_vnd,calories,protein_g,carbs_g,fat_g,allergens,ingredients
1,Phở bò,breakfast,home_cooked,40000,450,25,60,12,,"Bánh phở - 200g, Thịt bò - 100g, Nước dùng - 330g, Hành tây - 20g, Rau thơm - 20g"
2,Bún bò Huế,breakfast;lunch,home_cooked,45000,500,28,65,15,seafood,"Bún - 200g, Thịt bò - 80g, Giò heo - 78g, Chả cua - 50g, Mắm ruốc - 15g"
3,Cơm tấm sườn bì chả,breakfast;lunch,home_cooked,35000,650,30,80,20,egg;seafood,"Cơm tấm - 150g, Sườn nướng - 100g, Bì - 30g, Chả trứng - 50g, Nước mắm - 15g"
4,Bánh mì ốp la,breakfast,home_cooked,15000,350,12,45,10,egg,"Bánh mì - 80g, Trứng gà - 60g, Dưa leo - 30g, Ngò - 10g, Tương ớt - 15g"
5,Bánh mì xíu mại,breakfast,home_cooked,20000,400,15,50,12,,"Bánh mì - 80g, Thịt heo băm - 70g, Sốt cà chua - 30g, Hành tây - 15g"
6,Xôi xéo,breakfast,home_cooked;vegetarian,15000,400,10,70,8,,"Gạo nếp - 150g, Đậu xanh - 35g, Hành phi - 15g, Dầu ăn - 10g"
7,Xôi mặn,breakfast,home_cooked,20000,500,18,65,15,egg;soy,"Gạo nếp - 150g, Lạp xưởng - 25g, Chà bông - 20g, Trứng cút - 30g, Mỡ hành - 15g"
8,Bánh cuốn thịt băm,breakfast,home_cooked,25000,350,12,55,8,seafood,"Bột gạo - 120g, Thịt heo - 60g, Mộc nhĩ - 10g, Hành phi - 15g, Nước mắm - 15g"
9,Cháo lòng,breakfast,home_cooked,30000,400,20,45,15,,"Gạo - 50g, Nội tạng heo - 80g, Huyết - 40g, Giá - 30g, Ngò - 10g"
10,Cháo sườn,breakfast,home_cooked,25000,300,15,40,10,,"Gạo - 50g, Sườn non - 65g, Quẩy - 30g, Tiêu - 3g"
11,Bún riêu cua,breakfast;lunch,home_cooked,30000,450,20,60,12,seafood;egg,"Bún - 200g, Cua đồng - 60g, Cà chua - 50g, Đậu hũ - 60g, Huyết - 40g, Mắm tôm - 15g"
12,Bún chả Hà Nội,lunch,home_cooked,40000,550,25,65,18,seafood,"Bún - 200g, Thịt heo nướng - 80g, Chả nướng - 80g, Đu đủ chua - 50g, Nước mắm - 20g"
